Keyword	Competition	Global Monthly Searches	Jan 2011	Dec 2010	Nov 2010	Oct 2010	Sep 2010	Aug 2010	Jul 2010	Jun 2010	May 2010	Apr 2010	Mar 2010	Feb 2010	Ad Share	Search Share	Estimated Avg. CPC	Extracted From Webpage	Local Monthly Searches
new york activities	0.56	14800	-	12100	12100	9900	9900	9900	12100	9900	12100	9900	12100	9900	-	-	$1.07	-	9900
top 10 things to do in new york	0.51	5400	-	2400	2900	2400	2400	2900	3600	3600	2900	2400	2900	1900	-	-	$0.66	-	2900
distrikt hotel new york city	0.45	6600	-	1900	2400	2900	3600	2400	3600	2900	2400	3600	2400	2400	-	-	$0.05	-	2900
map of new york city	0.38	110000	-	74000	90500	74000	74000	74000	74000	74000	74000	74000	74000	60500	-	-	$0.87	-	74000
new york restaurant week	0.13	12100	-	3600	2900	3600	4400	12100	33100	6600	3600	2900	5400	14800	-	-	$0.48	-	9900
weather in new york city	0.19	135000	-	135000	90500	90500	110000	60500	60500	74000	90500	90500	90500	135000	-	-	$0.00	-	90500
the peninsula new york	0.65	4400	-	1900	2400	2400	2400	2400	2400	2400	2400	1900	2400	2900	-	-	$0.97	-	2400
hotels new york	0.73	2740000	-	1000000	1000000	1220000	1220000	1220000	1220000	1000000	1220000	1220000	1220000	1000000	-	-	$0.00	-	1220000
new york attractions list	0.71	1300	-	140	480	720	720	880	880	880	1000	880	880	720	-	-	$0.05	-	720
new york sightseeing tours	0.91	6600	-	2400	2900	2400	2900	4400	4400	3600	4400	4400	3600	1900	-	-	$2.60	-	2900
shoreham hotel new york	0.75	5400	-	1600	2400	2400	2400	2400	2400	2400	2900	2900	2900	2400	-	-	$1.86	-	2400
hotels near penn station new york	0.94	1900	-	1300	1300	1300	1300	1600	1600	1600	1600	1600	1900	1300	-	-	$1.74	-	1600
cheap hotels in manhattan new york	0.96	4400	-	1900	1600	2400	2900	2900	2900	2900	2900	2900	2400	1600	-	-	$3.15	-	2400
new york maps	0.31	450000	-	301000	301000	301000	301000	301000	301000	301000	301000	301000	301000	246000	-	-	$1.10	-	301000
new york restaurant guide	0.6	3600	-	1900	2400	2400	1900	1900	2400	1900	1900	1600	1900	1900	-	-	$1.05	-	2400
places to see in new york	0.62	18100	-	12100	12100	12100	12100	12100	14800	12100	14800	12100	12100	8100	-	-	$0.86	-	12100
albany new york	0.26	90500	-	74000	74000	74000	74000	74000	74000	74000	74000	74000	90500	74000	-	-	$1.58	-	74000
hotel carter new york	0.61	9900	-	1600	2400	3600	3600	3600	2900	2900	2900	1900	1900	1300	-	-	$0.00	-	2400
weather new york	0.12	673000	-	550000	301000	368000	368000	246000	301000	246000	368000	301000	301000	550000	-	-	$0.00	-	368000
things to see in new york city	0.59	2400	-	1600	1600	1300	1300	1300	1900	1900	1900	1900	1900	1600	-	-	$0.86	-	1600
new york city weather	0.19	135000	-	135000	90500	90500	110000	60500	60500	74000	90500	90500	90500	135000	-	-	$0.18	-	90500
belvedere hotel new york	0.83	18100	-	5400	6600	6600	6600	6600	6600	6600	6600	6600	6600	6600	-	-	$4.12	-	6600
new york city facts	0.31	5400	-	4400	5400	5400	5400	1900	1600	2400	6600	5400	5400	4400	-	-	$0.43	-	4400
plaza hotel new york city	0.65	4400	-	2400	2900	2400	1900	1900	1900	1600	1900	1900	1900	1600	-	-	$0.00	-	1900
unclaimed money new york	0.48	1900	-	1600	1900	1900	1900	1900	1900	1900	2400	1900	1900	1600	-	-	$0.40	-	1900
weather in new york city this week	0.14	2400	-	1000	880	720	590	390	720	1300	1900	1900	2400	2400	-	-	$0.05	-	1300
the standard hotel new york	0.64	6600	-	1900	2400	2900	2900	2900	2900	2900	3600	3600	3600	3600	-	-	$0.05	-	2900
places to eat in new york	0.37	6600	-	4400	4400	4400	3600	3600	4400	3600	4400	4400	4400	3600	-	-	$0.71	-	4400
